"","tracks","track_id","track_pop","artist","artist_full","artist_id","album","album_id","playlist_index","artist_name","artist_pop","artist_followers","genres"
"6271","Blue Bird (Naruto Shippuden)","5sOrbEDy2xTWIdyldvV6RO",0,"AmaLee","AmaLee","4sf4DrAOkheqktxTyKm7tO","Nostalgia IV","6e3Q3gDpvY8Bs20Txwgs9p",4,"AmaLee",69,273880,"anime latino;otacore"
"6272","Naruto Shippuden - Girei - Pains Theme","5FXjj887r4FC0nT6VcE3mT",51,"Geek Music","Geek Music","4TkCMPznXOjlsYLfzIU1rw","Naruto Shippuden - Girei - Pains Theme","6A09OtoCToaZmlDRY7jF1n",4,"Geek Music",64,39219,""
"6273","Zanpakto","0IqUciU4iok4rfR2yPfE6n",0,"Free Flow Flava","Free Flow Flava","7BvLgunXTcIAkE1uWNbbwQ","First Strike","2Lb7n51LMRAUISf4aRxs8c",4,"Free Flow Flava",56,31515,"japanese chillhop"
"6274","Madara","67fJXaUHanEWCXUleNZlVU",20,"Jawed Johnson","Jawed Johnson","2sqsfPIit72L3IBrKdVEju","Madara","6J0Qp1e2XXKTEWys8ywBAF",4,"Jawed Johnson",29,182,""
"6275","Stresserblick 1 - Bonustrack","4DscmFU9dRlWq4AsK4mtLR",16,"Kurdo","Kurdo feat. Majoe","1yIifIA91WgmfzBcjbQB8i","Blanco","5fK3sX1p3nCfMciQysMEhM",4,"Kurdo",60,596579,"deep german hip hop;german hip hop;german underground rap;kurdish hip hop"
"6276","Madara","02rrgEYy5gmD4nXZM08hTO",37,"Gravy Beats","Gravy Beats","171yRgrUwDCTZIhioHYl45","Trappuden","4Y2JZj7FsG5WDQlV47uakX",4,"Gravy Beats",46,4281,"japanese chillhop"
"6277","MAN OF THE WORLD","4hbxLuYIgDm17W4WQmTRvf",29,"SoulBeatz","SoulBeatz","6qSZBpbx8xgmJYnAVaaoqb","MAN OF THE WORLD","0kuLMkJmVwHbI6zk3qpixy",4,"SoulBeatz",29,161,""
"6278","Uchiha Madara","0LlFusBLHeWGIIyjwaMXSq",0,"We Verb _","We Verb _","5wJmL1gkdR9Y4e2S4ZxjCO","Uchiha Madara","5Xb2VX8pQQguWqxz36M3iP",4,"We Verb _",0,0,""
"6279","Naruto","53W7EIISniDO2XkPknPXID",20,"Gravy Beats","Gravy Beats","171yRgrUwDCTZIhioHYl45","Konoha FM","1AmgVmhTsS9S70aXblQSQ2",4,"Gravy Beats",46,4281,"japanese chillhop"
"6280","CHIBAKU TENSEI","0l6EVNXh2x55PmlhcbY07s",24,"HITOKIRI","HITOKIRI feat. NKOHA","7dOzQOqLvsNmygNNruyfeB","RIDE","6HUZWHq3XtvDADipWSwEvY",4,"HITOKIRI",19,97,""
"6281","Byakuya","1oW0lWXuBytBlqM8hjMEcZ",29,"SoulBeatz","SoulBeatz","6qSZBpbx8xgmJYnAVaaoqb","Life & Death","2QW91yb8l6gJoa7XhqGfpO",4,"SoulBeatz",29,161,""
"6282","Kaguya","6BkYUwRoDXDU9sNaB3F6It",27,"Gravy Beats","Gravy Beats","171yRgrUwDCTZIhioHYl45","Trappuden","4Y2JZj7FsG5WDQlV47uakX",4,"Gravy Beats",46,4281,"japanese chillhop"
"6283","Naruto - Grief and Sorrow (Hokage's Funeral) - Piano Version","4BLqhAuwki3zFx7r4d4Z9i",30,"Marco Velocci","Marco Velocci","0fey1vDYFmbGGRWCo1iwWe","Naruto - Grief and Sorrow (Hokage's Funeral) [Piano Version]","51DIWUbPvSH8C9LXGcMoWa",4,"Marco Velocci",38,1177,""
"6284","My Friend","6QxQHBGZWmlpFMVjuSsYwh",50,"NKOHA","NKOHA","74yb8EAWGPAcIUo6CFxKIR","Despair","2uMNrWj9iLyuDflq5vUC1v",4,"NKOHA",53,18404,"japanese chillhop"
"6285","Naruto Uzumaki","1CQfX2YGLnB7WKdyQbPQuU",17,"Jawed Johnson","Jawed Johnson","2sqsfPIit72L3IBrKdVEju","Naruto Uzumaki","6GXmshYtMuqm87qTT9PMkI",4,"Jawed Johnson",29,182,""
"6286","Hokage","1QSN1Li1W4kneLyPMoXObX",33,"Gravy Beats","Gravy Beats","171yRgrUwDCTZIhioHYl45","Konoha FM","1AmgVmhTsS9S70aXblQSQ2",4,"Gravy Beats",46,4281,"japanese chillhop"
"6287","Naruto to Boruto","4rrmU4cFbbUEE4hx8Oj3gY",37,"Musicality","Musicality","3jbwoqhl1GhkvC5rNBvHH3","Remixes 17","4psuZbFckWKhvrNxm3Dry5",4,"Musicality",50,8009,""
"6288","Eternal Youth VIP","49vtjqhxPVKz7BK7IYjBru",53,"RŮDE","RŮDE","4CWpoyuE7e9NvBkUSTmJfq","Eternal Youth VIP","1CEfHxRez4Txq6R8vyB7xj",4,"RŮDE",67,95093,"japanese chillhop;rochester mn indie"
"6289","NARUTO X BORUTO","4CjsYFfmqRxbFXxPIP4nTu",14,"SoulBeatz","SoulBeatz feat. Armaan","6qSZBpbx8xgmJYnAVaaoqb","NARUTO X BORUTO","44AL9DH2jpfPiTnQ3VFYAX",4,"SoulBeatz",29,161,""
"6290","5th Hokage","0lwPzcXqG2hZ14l9ziFziF",15,"Chade Summerset","Chade Summerset","5vmIZE8NHcyDPiHIZ9dtOo","Otaku Supply, Vol. 3: Infinite Blade Theory","547jMc70epH3uHLZYrp9IQ",4,"Chade Summerset",39,1515,"lo-fi vgm"
"6291","6xth Hokage","0lN1Nmako1H0zdIhWirqYW",23,"Chade Summerset","Chade Summerset","5vmIZE8NHcyDPiHIZ9dtOo","Otaku Supply, Vol. 2: Zenkai Boost","3vlwgOSPBcRvc2M9QW1Ucb",4,"Chade Summerset",39,1515,"lo-fi vgm"
"6292","Believe It!","1PAiWzGbO4pWOUVXFaf7C2",18,"Chade Summerset","Chade Summerset","5vmIZE8NHcyDPiHIZ9dtOo","Otaku Supply, Vol. 2: Zenkai Boost","3vlwgOSPBcRvc2M9QW1Ucb",4,"Chade Summerset",39,1515,"lo-fi vgm"
"6293","Hinata Uzumaki (Vintage Chaden)","0QMosGOZLedgn7jTRRGnDn",22,"Chade Summerset","Chade Summerset","5vmIZE8NHcyDPiHIZ9dtOo","Otaku Supply, Vol. 1","2jMirMhi49D0gzyOEvfWZK",4,"Chade Summerset",39,1515,"lo-fi vgm"
"6294","S-Rank Mission","0r5io7BJKd1Bcw905fgNCs",22,"Chade Summerset","Chade Summerset","5vmIZE8NHcyDPiHIZ9dtOo","Otaku Supply, Vol. 2: Zenkai Boost","3vlwgOSPBcRvc2M9QW1Ucb",4,"Chade Summerset",39,1515,"lo-fi vgm"
"6295","Chunin Exam (Vintage Chaden)","6JgiiAmS0CrzVB1imYhGyv",13,"Chade Summerset","Chade Summerset","5vmIZE8NHcyDPiHIZ9dtOo","Otaku Supply, Vol. 1","2jMirMhi49D0gzyOEvfWZK",4,"Chade Summerset",39,1515,"lo-fi vgm"
"6296","Shinra Tensei","0HiNaqW7k7o24Rlqpi1TVa",27,"Gravy Beats","Gravy Beats","171yRgrUwDCTZIhioHYl45","Gangjutsu","78whK39uzhzE6gGDLYwBTZ",4,"Gravy Beats",46,4281,"japanese chillhop"
"6297","Madara II","7eds1PWmW6oOx3ueOSY30A",23,"Gravy Beats","Gravy Beats","171yRgrUwDCTZIhioHYl45","Gangjutsu","78whK39uzhzE6gGDLYwBTZ",4,"Gravy Beats",46,4281,"japanese chillhop"
"6298","Tobi","05zVq0CYLgCHaO7soqPKqi",20,"Gravy Beats","Gravy Beats","171yRgrUwDCTZIhioHYl45","Gangjutsu","78whK39uzhzE6gGDLYwBTZ",4,"Gravy Beats",46,4281,"japanese chillhop"
"6299","Amaterasu","3wW6WspbJFWnYsKq8qD9jt",36,"Gravy Beats","Gravy Beats","171yRgrUwDCTZIhioHYl45","Trapasian","6AaoH3uFH5qd3Xcg3vWRwX",4,"Gravy Beats",46,4281,"japanese chillhop"
"6300","Rasengan","7COhglwe8XRcaLmDbaydLv",22,"Gravy Beats","Gravy Beats","171yRgrUwDCTZIhioHYl45","Gangjutsu","78whK39uzhzE6gGDLYwBTZ",4,"Gravy Beats",46,4281,"japanese chillhop"
"6301","Sabaku","1j4hCLONFjpB6oiztTdWD9",17,"Gravy Beats","Gravy Beats","171yRgrUwDCTZIhioHYl45","Gangjutsu","78whK39uzhzE6gGDLYwBTZ",4,"Gravy Beats",46,4281,"japanese chillhop"
"6302","Chidori","1GgXPDD9HoCpXDSCKfS32I",19,"Gravy Beats","Gravy Beats","171yRgrUwDCTZIhioHYl45","Gangjutsu","78whK39uzhzE6gGDLYwBTZ",4,"Gravy Beats",46,4281,"japanese chillhop"
"6303","Brothers","7dIlelIuV8CUYYPLqXsQeF",16,"Gravy Beats","Gravy Beats","171yRgrUwDCTZIhioHYl45","Gangjutsu","78whK39uzhzE6gGDLYwBTZ",4,"Gravy Beats",46,4281,"japanese chillhop"
"6304","Summoning","4TbbwA4IxzEQ5uLxsGCI8H",14,"Gravy Beats","Gravy Beats","171yRgrUwDCTZIhioHYl45","Gangjutsu","78whK39uzhzE6gGDLYwBTZ",4,"Gravy Beats",46,4281,"japanese chillhop"
"6305","Naruto Yogenxha","3ktObCDp7oPyZmPZ09z0wn",13,"BlackXipher","BlackXipher","1EzCGFwidgpeunzzNETbho","Enigmatic Adventure","2UsXFNFAjPxkT9rHRGEfP6",4,"BlackXipher",32,1553,""
"6306","Sasuke Ninja Way","3HCP5okdPRc0zRXz0jMOS9",22,"BlackXipher","BlackXipher","1EzCGFwidgpeunzzNETbho","Enigmatic Adventure","2UsXFNFAjPxkT9rHRGEfP6",4,"BlackXipher",32,1553,""
"6307","Kaguya","3sdhYAxQ4LHo2dt4YeQEMh",21,"BlackXipher","BlackXipher","1EzCGFwidgpeunzzNETbho","Enigmatic Adventure","2UsXFNFAjPxkT9rHRGEfP6",4,"BlackXipher",32,1553,""
"6308","Despair","3J0JI3z45EuEW5cVIxw9cO",46,"R A Y","R A Y","0txxG1RcOuVefWjrrMQn3G","Chapter IV","48J9LatUbTZp6ZN9k51yfq",4,"R A Y",48,12993,"fingerstyle"
"6309","Sunflower Samurai","0AwbkMzuvcoX6AevH9Nue8",50,"Jazzinuf","Jazzinuf","6rJ1GwtHin2BJbKLuNn9pi","Kick This","0K5X0XKS38IZkh7P0iYVUN",4,"Jazzinuf",60,58582,"chillhop;lo-fi beats"
"6310","Harmonia Remix","6evFnbZcqeugWKurOoa5AD",14,"BKNAPP","BKNAPP","5iizKY32uh2DjvhBAatfOK","Naruto Beats","4NGZw8jQ0igwqDw1z0XkaO",4,"BKNAPP",42,2252,"lo-fi vgm"
"6311","Sadness and Sorrow Remix","5lJXh2vi6aFZBho7on4Lvt",16,"BKNAPP","BKNAPP","5iizKY32uh2DjvhBAatfOK","Naruto Beats","4NGZw8jQ0igwqDw1z0XkaO",4,"BKNAPP",42,2252,"lo-fi vgm"
"6312","Hinata Vs Neji Remix","01nADMthiQ5Ns57yCLCMyQ",14,"BKNAPP","BKNAPP","5iizKY32uh2DjvhBAatfOK","Naruto Beats","4NGZw8jQ0igwqDw1z0XkaO",4,"BKNAPP",42,2252,"lo-fi vgm"
"6313","Swaying Necklace Remix","5midwxOoAK9Gj35slygYwt",17,"BKNAPP","BKNAPP","5iizKY32uh2DjvhBAatfOK","Naruto Beats","4NGZw8jQ0igwqDw1z0XkaO",4,"BKNAPP",42,2252,"lo-fi vgm"
"6314","Student and Teacher Remix","2R6GTrwbk9SDhLeV2zIU9B",12,"BKNAPP","BKNAPP","5iizKY32uh2DjvhBAatfOK","Naruto Beats","4NGZw8jQ0igwqDw1z0XkaO",4,"BKNAPP",42,2252,"lo-fi vgm"
