"","tracks","track_id","track_pop","artist","artist_full","artist_id","album","album_id","playlist_index","artist_name","artist_pop","artist_followers","genres"
"1","File Select (From ""Super Mario 64"") [Lo-fi Edit]","12oeXDFhXiPi7ED0Hv7NQu",42,"Besso0","Besso0 feat. GonZealous","1Bk5QRKPcjeDSZS6M75Q8z","File Select (From ""Super Mario 64"") [Lo-fi Edit]","1MvnxRQ7IxVqY9Ngye2u8f",1,"Besso0",39,1388,"lo-fi vgm"
"2","She Hit Me Up!","4E4AciPFXsLKJf3EQNMMn9",23,"Lo'fi Boy","Lo'fi Boy","30zqizQHom62N4hV28E1Hz","She Hit Me Up!","6cnSiD60secxctlgtzIk6C",1,"Lo'fi Boy",54,27339,"lo-fi beats"
"3","Circles","6AVO0Jk6IT9YXUhhHpSGcR",44,"instant era","instant era","0KJnonezjjjoFQZu8ZtR2k","Circles","5dt6iMHnedZ5ajIhpGZEhs",1,"instant era",46,223,""
"4","gso","3d6jkTM25qLsneJ4N25oYY",36,"coldbrew","coldbrew","7r3gH36F9O5GtmYPYymtLK","Turbulence Ep","75obHD8DPX6iME05QVj782",1,"coldbrew",55,3511,""
"5","Dream Girl","3aiqgRAbtibEmjMvpZgb4Q",36,"Strehlow","Strehlow","1pUWzVmu8ACMnIAu9BsOHm","Sleep in, Love","61tjotA7tRYb6wW3A03XJD",1,"Strehlow",59,4033,"chillhop;lo-fi beats"
"6","Cry Me A River","4z5tPOBoKRIgCRVJMPPnoH",37,"Ray Brown Trio","Ray Brown Trio","3kcjzDWaSVR3VqgEIBZIdo","Soular Energy","35X3ykw0Ysj1Epv9Vx8uo8",2,"Ray Brown Trio",33,5111,"jazz trio"
"7","Moonlight Serenade","2hq5r9Drp3mVlMBn0LZnwp",34,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","Vintage Jazz: Instrumental Jazz for Entertaining","37LanF3gGteJhy8HlorAHk",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"8","When Sunny Gets Blue","1J9iVCaEriyoMXpj2XszhU",62,"McCoy Tyner","McCoy Tyner","2EsmKkHsXK0WMNGOtIhbxr","Today And Tomorrow","6MinQE3GG7Xb9GWrOoAWEz",2,"McCoy Tyner",53,85243,"avant-garde jazz;bebop;contemporary jazz;contemporary post-bop;cool jazz;free jazz;hard bop;jazz;jazz funk;jazz fusion;jazz piano;soul jazz;stride"
"9","A Kiss to Build a Dream On","3t69oUT5jXy1q5QWLjSL3L",35,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","Vintage Jazz: Instrumental Jazz for Entertaining","37LanF3gGteJhy8HlorAHk",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"10","Why Was I Born?","0bsjX3Fepz788QVOONkGTP",22,"Red Garland","Red Garland","35iymrFS4VnsKn35ebHKX9","Lush Life","2Nrj3MUPEHQJ72C4eO48vW",2,"Red Garland",52,32783,"bebop;contemporary post-bop;cool jazz;hard bop;jazz;jazz piano;soul jazz;stride;vocal jazz"
"11","Trouble In Mind","1Q3nwehHU6712WVfvpWVpz",31,"Red Garland","Red Garland","35iymrFS4VnsKn35ebHKX9","Red In Bluesville","275AqoGJKv5Mu2quadBUTM",2,"Red Garland",52,32783,"bebop;contemporary post-bop;cool jazz;hard bop;jazz;jazz piano;soul jazz;stride;vocal jazz"
"12","The Nearness Of You","67pejO5AYS8u1O2T3Tjci6",28,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","The Ultimate Romance Playlist","4TCh8ccf6YgMK7jdOFcE2d",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"13","Can't Help Loving","02PDgMbdSZtCK9LVCQVr0m",28,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","The Ultimate Romance Playlist","4TCh8ccf6YgMK7jdOFcE2d",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"14","Unforgettable","4K6xj4MQkheRe33wSaT0pg",32,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","The Ultimate Romance Playlist","4TCh8ccf6YgMK7jdOFcE2d",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"15","I Left My Heart In San Francisco","7KAcVQ5YlwAugIVnyul9tU",34,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","The Ultimate Romance Playlist","4TCh8ccf6YgMK7jdOFcE2d",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"16","Stardust","0LwL0iyV94yTiVvh372Bip",32,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","The Ultimate Romance Playlist","4TCh8ccf6YgMK7jdOFcE2d",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"17","I've Got A Crush On You","0XZiIDTWi4P4bhI1yUVZXP",27,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","The Ultimate Romance Playlist","4TCh8ccf6YgMK7jdOFcE2d",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"18","I'm Confessin'","4wMngvGazCDlUUYiYYLIe3",31,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","Quiet Romance","3qAmCeyp9xFdLP1zJCYMJZ",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"19","A Kiss to Build a Dream On","0o4GzcDYfJmZyAcctdvzSY",27,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","Quiet Romance","3qAmCeyp9xFdLP1zJCYMJZ",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"20","Angel Eyes - Studio","4d3XHYFFuYYzxWr2cJ6yQl",48,"Tommy Flanagan","Tommy Flanagan feat. Ron Carter feat. Tony Williams","6dUZplQfg5blo0h9HiJ94d","Master Trio","0O6FZJtO0RcQEDu3t55vF4",2,"Tommy Flanagan",51,27383,"bebop;contemporary post-bop;cool jazz;hard bop;jazz;jazz piano;soul jazz;stride"
"21","I Know Why (And So Do You)","3DsIu9DB0AZufrQHR4yJKL",45,"Red Garland","Red Garland feat. Paul Chambers feat. Art Taylor","35iymrFS4VnsKn35ebHKX9","Red Garland's Piano","1Lrt5saApIz6z8dGmyKB7d",2,"Red Garland",52,32783,"bebop;contemporary post-bop;cool jazz;hard bop;jazz;jazz piano;soul jazz;stride;vocal jazz"
"22","Everything happens to me","5y9SsiwEDr8oPdOBbBBIyN",32,"Duke Jordan","Duke Jordan","27Zmfr3VpJSgOf8iyWiZzM","Flight To Denmark","4mvcUHRlJt47ZUk18Aosq1",2,"Duke Jordan",36,7611,"bebop;contemporary post-bop;cool jazz;hard bop;jazz piano;soul jazz"
"23","I Still Believe in You","3KSlf0oOA2SLUd9WithXy9",0,"Eric Reed","Eric Reed","6aIBBSprVv4xXTT6vzONXU","Something Beautiful","0uMoL7vRrawf5XJ7iz7Gjj",2,"Eric Reed",47,6265,"contemporary post-bop;modern jazz piano"
"24","It Never Entered My Mind","1vP5Ceh1SrfOalU8Yc3XE9",52,"Mulgrew Miller","Mulgrew Miller feat. Wingspan","6Zq5ky484xYTgxE6dQ8yHh","The Sequel","1k02v5raMzSZ7KJIBrJyum",2,"Mulgrew Miller",45,12352,"bebop;contemporary jazz;contemporary post-bop;cool jazz;danish jazz;hard bop;jazz;jazz piano;stride"
"25","Where We Used To Live","0l9P4e1hk2yoAmiJJLKON4",38,"Esbjörn Svensson Trio","Esbjörn Svensson Trio","3HJzLaMbS0jMabxS3wttGk","E.S.T. Tuesday Wonderland","5CnjYQb9NKoIQS90pnWx9E",2,"Esbjörn Svensson Trio",52,93297,"contemporary jazz;ecm-style jazz;jazz;jazz fusion;jazz trio;modern jazz trio;nu jazz;swedish jazz"
"26","DO You Know What It Means To Miss New Orleans","3MWDHcZknKnDYJabFPkAkS",27,"Ellis Marsalis","Ellis Marsalis","6gMW76a7vmuyUuAivTjFGj","Heart Of Gold","4HsSIix1VsQMOKrO3OiUkK",2,"Ellis Marsalis",34,9708,"jazz piano;new orleans jazz"
"27","Velvet Moon","1eQ0XGqfsZVMCK2SAX74HD",0,"Tommy Flanagan","Tommy Flanagan","6dUZplQfg5blo0h9HiJ94d","Velvet Moon","71uP84Ih7IsT6qzwqVx5Ts",2,"Tommy Flanagan",51,27383,"bebop;contemporary post-bop;cool jazz;hard bop;jazz;jazz piano;soul jazz;stride"
"28","Born to Be Blue","6wyCGqYH4Y4WUFz4ogAHjd",0,"Tommy Flanagan","Tommy Flanagan","6dUZplQfg5blo0h9HiJ94d","Velvet Moon","71uP84Ih7IsT6qzwqVx5Ts",2,"Tommy Flanagan",51,27383,"bebop;contemporary post-bop;cool jazz;hard bop;jazz;jazz piano;soul jazz;stride"
"29","Come Sunday","7Ic1BJKeYGR1soDuMtF0uf",0,"Tommy Flanagan","Tommy Flanagan","6dUZplQfg5blo0h9HiJ94d","Velvet Moon","71uP84Ih7IsT6qzwqVx5Ts",2,"Tommy Flanagan",51,27383,"bebop;contemporary post-bop;cool jazz;hard bop;jazz;jazz piano;soul jazz;stride"
"30","In a Sentimental Mood","6ShwfOwwfy03RNofKxyThp",0,"Tommy Flanagan","Tommy Flanagan","6dUZplQfg5blo0h9HiJ94d","Velvet Moon","71uP84Ih7IsT6qzwqVx5Ts",2,"Tommy Flanagan",51,27383,"bebop;contemporary post-bop;cool jazz;hard bop;jazz;jazz piano;soul jazz;stride"
"31","These Foolish Things","0xROuXLVDiD7HgBmVNVI3E",23,"Ib Christensen","Ib Christensen","2irWR9Qveaqo7vwXSjO03J","Midnight Piano Jazz","4XW5E27S6GJpDO66eLKdgu",2,"Ib Christensen",20,26,""
"32","Strays","1t00SsbGFzxgwqJXinlAN1",25,"Larry Goldings","Larry Goldings","6wTD4jLsPadWutQ9nJvzT6","Midnight Piano Jazz","4XW5E27S6GJpDO66eLKdgu",2,"Larry Goldings",34,4997,"jazz organ;modern jazz piano"
"33","Beautiful Adela","0wKrh7cIdkqNMJl1wZc5lZ",23,"Freddie Redd","Freddie Redd","7CC7dqXYFQcYPqt8sTrqTV","Midnight Piano Jazz","4XW5E27S6GJpDO66eLKdgu",2,"Freddie Redd",18,3343,"hard bop;soul jazz"
"34","I Can't Get Started","0fWtxcfaJUSRjjj3iwkfsF",23,"Teddy Wilson Trio","Teddy Wilson Trio","098w47IvmZRjaDsfkzIKO7","Midnight Piano Jazz","4XW5E27S6GJpDO66eLKdgu",2,"Teddy Wilson Trio",17,237,""
"35","Can You Tell By Looking at Me","216yrNx943DRM8aXp733fu",25,"Billy Taylor","Billy Taylor","2jiQ4lRvpc4ZTtUFMB3dGF","Midnight Piano Jazz","4XW5E27S6GJpDO66eLKdgu",2,"Billy Taylor",25,2461,"jazz piano"
"36","These Foolish Things","6X00KVrvsQ4sv2Nfo5hFTH",24,"Ib Christensen","Ib Christensen","2irWR9Qveaqo7vwXSjO03J","Jazz For Romance","1vcMpTnIiLH7EhTsAWqeDw",2,"Ib Christensen",20,26,""
"37","Embraceable You","2Fy3rP3sPhVBM8VlmNjIBI",25,"Jan Johansson","Jan Johansson","6DEfX2tZzx9iANmaErvLGf","Jazz For Romance","1vcMpTnIiLH7EhTsAWqeDw",2,"Jan Johansson",52,44709,"swedish jazz"
"38","A Hundred Dreams from Now","2R9KveaVtFgiiEC6KSF9un",42,"Ray Bryant","Ray Bryant","617L0tV5Y7lMvUHGHR43AR","A Hundred Dreams from Now","1OLQClJexwEK6xNTb5mU4L",2,"Ray Bryant",37,6895,"cool jazz;hard bop;jazz piano;soul jazz;stride"
"39","Good Morning.Goodbye","1PMlAs24OBYlwXF7OeiVYg",49,"Dan Cray Trio","Dan Cray Trio","5OrAzdkis91EndJhMLu42l","Save US","1FwITvBoG0Fq2FLNFLq9Ze",2,"Dan Cray Trio",38,626,"jazz trio"
"40","Fools Rush In","7hbpUZY7qsDPBe9X2juJEz",52,"Teddy Wilson","Teddy Wilson","0tg5uVI4VjzZOFzBryJZii","The Noble Art Of Teddy Wilson","32TZRpG7qCdeDEjWbSWS8G",2,"Teddy Wilson",55,19866,"big band;cool jazz;jazz piano;stride;swing;vocal jazz"
"41","My Simple Thing","4uP9aFwUv5lMNOlh6mKuNM",0,"Peter Sandberg","Peter Sandberg","3LtlJprzuq0Ii8p8YFZXai","A Scandinavian Thing","0bjvkCZgQWIFDRedJAoxTO",2,"Peter Sandberg",65,35030,"background music;background piano;calming instrumental;compositional ambient;focus;neo-classical"
"42","Ain't Misbehavin'","5XG9FOYJiJgCoZ74GUD1Rr",32,"Stan Whitmire","Stan Whitmire","3Be0FxZRoCJ8UPrkwe6Xuw","Cocktail Party Piano: Elegant Solo Piano Music For Cocktail Parties","1MfMLICPGQRaev3gAZ3AMg",2,"Stan Whitmire",55,6699,"calming instrumental;christian relaxative;classify"
"43","Got That Feeling","2VY6cGSr6iDouF55iOS6Ok",0,"Peter Sandberg","Peter Sandberg","3LtlJprzuq0Ii8p8YFZXai","A Scandinavian Thing","0bjvkCZgQWIFDRedJAoxTO",2,"Peter Sandberg",65,35030,"background music;background piano;calming instrumental;compositional ambient;focus;neo-classical"
"44","Georgia On My Mind","3YCtY1WHXea6i3queAzYsk",38,"Sonny Beckerlee","Sonny Beckerlee","0XMT5PoHDKRRWHj40qLg7K","Georgia On My Mind","72zWkjMdqIwHVbXpA3B1UN",2,"Sonny Beckerlee",44,784,"piano cover"
"45","As Time Goes By","7adF8nbrf6PWrdK7RPVjyF",55,"Isabella Ivanova","Isabella Ivanova","43BFGMfESZXGlOwI8syVTu","As Time Goes By","5TI7hirfKwFzNbXUOUy3h0",2,"Isabella Ivanova",43,587,"christmas instrumental"
"46","Like Someone in Love","4PiUoO6xh4xQNxpKQwgGId",52,"Milos Strevic","Milos Strevic","5MCalzVGSntMjjmo9JZKgC","Like Someone in love","1nAbNCv6V6YSZfdLHjX9uj",2,"Milos Strevic",40,815,"focus"
"47","Smoke Gets In Your Eyes","1rPR7GDVpL2GenR7CPQEA8",39,"Adam Fincher","Adam Fincher","0PmeWY74IzTbfmYPC3Fsq6","Smoke Gets In Your Eyes","61918qfWrEGuKHgoQvWEEk",2,"Adam Fincher",55,1558,"background piano"
"48","I Got It Bad And That Ain't Good","2kpaRWsZTE96rmw0NBfP0c",3,"Oscar Peterson Trio","Oscar Peterson Trio","0ldU0QJm31y0d6f57R1G2A","Night Train (Expanded Edition)","1wht9VwbCummrzrwOOjAm7",2,"Oscar Peterson Trio",62,120186,"adult standards;bebop;big band;contemporary post-bop;cool jazz;hard bop;jazz;jazz trio;stride;swing;vocal jazz"
"49","Georgia On My Mind","5v5h0IdOAo0pK8a7i2esZG",0,"Oscar Peterson Trio","Oscar Peterson Trio","0ldU0QJm31y0d6f57R1G2A","Night Train (Expanded Edition)","1wht9VwbCummrzrwOOjAm7",2,"Oscar Peterson Trio",62,120186,"adult standards;bebop;big band;contemporary post-bop;cool jazz;hard bop;jazz;jazz trio;stride;swing;vocal jazz"
"50","I'm in the Mood for Love: I'm in the Mood for Love","6EZMZ5LIMiZZeSFcxU97xT",30,"Edward Newton","Edward Newton","0vFsXMElRoDfx0dnLpBB3s","Cocktail Piano: A gentle, genteel accompaniment to your party","2ZtiolvP2GXkM646eiqi5F",2,"Edward Newton",42,580,""
"51","The Way You Look Tonight","7rFy6KpF4AilmRCiTcMHKR",0,"David Osborne","David Osborne","0oA8UUNNUP3zWCUkZVin0G","Time After Time: A Piano Tribute To Frank Sinatra","61Rq96xQi5eBDAvnBoYmQ2",2,"David Osborne",53,5808,"calming instrumental;classify;new age"
"52","A Foggy Day","6CXcji47NsDcUDJtBVV0PT",0,"Oscar Peterson","Oscar Peterson","6zkX5fhrSD4tdVOmimR9wB","The Gershwin Songbooks: Oscar Peterson Plays The George Gershwin Song Book / Oscar Peterson Plays George Gershwin","0AayUKoIpnLTseoYwxGZ4Q",2,"Oscar Peterson",61,158483,"adult standards;bebop;big band;contemporary post-bop;cool jazz;jazz;jazz piano;stride;swing;vocal jazz"
"53","Blue Moon","4LO0r1QpapI1fkczt6vPn6",41,"Leigh Watershed","Leigh Watershed","4RfBlA11cOGgcaraoUduGR","Blue Moon","69zXRynaBunaMuAjFlo9tL",2,"Leigh Watershed",43,569,"focus"
"54","You'll Never Know","5tonIMBlp63D4gSJQU2I6l",0,"David Osborne","David Osborne","0oA8UUNNUP3zWCUkZVin0G","Time After Time: A Piano Tribute To Frank Sinatra","61Rq96xQi5eBDAvnBoYmQ2",2,"David Osborne",53,5808,"calming instrumental;classify;new age"
"55","She's Funny That Way / Memories of You / I Surrender Dear","64AJnCjC5Er4y7ysdbus0l",31,"Ray Bryant","Ray Bryant","617L0tV5Y7lMvUHGHR43AR","Plays Blues and Ballads (Piano Solo)","1neKKKUdtBbgEEeoUWu4cJ",2,"Ray Bryant",37,6895,"cool jazz;hard bop;jazz piano;soul jazz;stride"
"56","As Time Goes By (Piano Version)","0d3Dd9pmhaoavct33FiKDj",29,"London Music Works","London Music Works","0VeT7hHTJFJZcENGekjCsB","100 Piano Classics: In the Lounge","5M8t2IHNFOrrdAaNPqjxB0",2,"London Music Works",60,63833,"epicore;scorecore;theme"
"57","Someone to Watch Over Me","2K5m172uYCt1ngemwXMwAE",54,"Charlotte Benton","Charlotte Benton","3DKEEc4CKrikJN6wkLQtkn","Someone to Watch Over Me","1OcmZJ195AIf6TCztMP15A",2,"Charlotte Benton",46,491,""
"58","Karakoum","3n6yic63Ocn00aaP1zHMt5",0,"Cesare Picco","Cesare Picco","1yxGwA4z1LaJR0UuQQEKYq","My Room","23Sbzcetq8BrNnXSPGd3NE",2,"Cesare Picco",28,2018,"italian contemporary jazz;italian jazz"
"59","Polka Dots And Moonbeams","0SkFM46D0goWIXOg1z1RFe",38,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","A Time For Love: Jazz Piano Romance","73D1LY5dlaUz7fzMatrdWe",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"60","My One And Only Love","7yl3EpOoJpjxnufyEw6oB3",29,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","A Time For Love: Jazz Piano Romance","73D1LY5dlaUz7fzMatrdWe",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"61","What A Difference A Day Makes","3dHf4ayldJyhRBxAGePeq7",50,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","A Time For Love: Jazz Piano Romance","73D1LY5dlaUz7fzMatrdWe",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"62","What Are You Doing The Rest Of Your Life","7rf0V8jB2ftdwkP7F48gWT",33,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","A Time For Love: Jazz Piano Romance","73D1LY5dlaUz7fzMatrdWe",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"63","When I Fall In Love","2jY7GaktdH1v9tUNjuTDsW",31,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","A Time For Love: Jazz Piano Romance","73D1LY5dlaUz7fzMatrdWe",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"64","Again","2Q43k4sv5UhzoBCIzGWQFz",40,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","A Time For Love: Jazz Piano Romance","73D1LY5dlaUz7fzMatrdWe",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"65","Stardust","7bLh5731j5ouzABXYQisTt",56,"Sonny Beckerlee","Sonny Beckerlee","0XMT5PoHDKRRWHj40qLg7K","Stardust","3lrw0yjG3vmXH2u8UvZZzJ",2,"Sonny Beckerlee",44,784,"piano cover"
"66","Georgia On My Mind","7p6ZeiNtEHJKmc4YWBZELG",54,"Oscar Peterson Trio","Oscar Peterson Trio","0ldU0QJm31y0d6f57R1G2A","Night Train (Expanded Edition)","3gPOWmWT0q7Ygp95Xiuw1v",2,"Oscar Peterson Trio",62,120186,"adult standards;bebop;big band;contemporary post-bop;cool jazz;hard bop;jazz;jazz trio;stride;swing;vocal jazz"
"67","Misty","06HQejVsTz9NqkSmxsVCCM",46,"Ahron Kupner","Ahron Kupner","4tnxMzWhSfJZz0M37uFkIo","Session 1","4HFAkNLOMRNxgJjsddka9f",2,"Ahron Kupner",44,1400,"pianissimo"
"68","I Gotta Right To Sing The Blues","3hMFS2phirvPaWKmk57dI1",0,"Oscar Peterson Trio","Oscar Peterson Trio","0ldU0QJm31y0d6f57R1G2A","Plays the Harold Arlen Song Book","5H6lyBf7aJho6ceZgizz45",2,"Oscar Peterson Trio",62,120186,"adult standards;bebop;big band;contemporary post-bop;cool jazz;hard bop;jazz;jazz trio;stride;swing;vocal jazz"
"69","Some Enchanted Evening (South Pacific)","0h6J0Kfp462oRMklIBIs0T",22,"Steve Kuhn","Steve Kuhn","6KEBRNgSvb95hjK9Nh0tzt","# 13. Aladdin","31amermhIldou5IDLzrMuX",2,"Steve Kuhn",41,6885,"contemporary jazz;contemporary post-bop;ecm-style jazz;japanese jazz;jazz piano"
"70","The Man With A Horn (The Young Man With A Horn)","6fnnbpaOL8wnZlmogPChr9",25,"Steve Kuhn","Steve Kuhn","6KEBRNgSvb95hjK9Nh0tzt","#9. Eva","3E5IHKK2uzqXrVaZXWlZtE",2,"Steve Kuhn",41,6885,"contemporary jazz;contemporary post-bop;ecm-style jazz;japanese jazz;jazz piano"
"71","Memories of You (The Benny Goodman Story)","5MwAOD7p0nXdBd4AmIdb0p",25,"Kenny Barron","Kenny Barron","3LvX4UVIfEjsQVqrbBToQ3","#1. Deer Hunter","1KkIl5okgzmGQVH2GsxsCn",2,"Kenny Barron",46,19246,"bebop;contemporary jazz;contemporary post-bop;cool jazz;hard bop;italian jazz;jazz;jazz piano;straight-ahead jazz;stride"
"72","A Time For Us - Romeo And Juliet","4RsExXVcoC6KgV1H4QBRZm",22,"Bill Mays","Bill Mays","1ilp455TV1iDOBdrxrqKTQ","#5. Romeo And Juliet","5NLnVCjvbed8M25ESbVkJc",2,"Bill Mays",34,550,"jazz piano"
"73","But Beautiful (Road To Rio)","0XspxHlTAxekTwkdgANKyP",25,"Steve Kuhn","Steve Kuhn","6KEBRNgSvb95hjK9Nh0tzt","#11. The Third Man","3wDfdMV9LI6oFJjpt9w4lh",2,"Steve Kuhn",41,6885,"contemporary jazz;contemporary post-bop;ecm-style jazz;japanese jazz;jazz piano"
"74","Dream","0rarcVEyUguV7474TGWR8f",22,"Dave McKenna","Dave McKenna","43THMygQrwslIjJbD5rFTv","Piano Jazz Classics","17eFqQC3HC41TNUxF1vyvK",2,"Dave McKenna",34,1652,"stride"
"75","For All We Know","38nW1EMNLpxHFzPWAybyYw",22,"Dave McKenna","Dave McKenna","43THMygQrwslIjJbD5rFTv","Piano Jazz Classics","17eFqQC3HC41TNUxF1vyvK",2,"Dave McKenna",34,1652,"stride"
"76","There Will Never Be Another You","28ClFyl1qqhVjz26Q7yX4B",0,"Dave McKenna","Dave McKenna","43THMygQrwslIjJbD5rFTv","Solo Piano","7kp9R0JjMTpQEfFnxhuoUc",2,"Dave McKenna",34,1652,"stride"
"77","Blue And Sentimental","78ntGe4xyecZHg9exQWwK6",56,"Oscar Peterson","Oscar Peterson","6zkX5fhrSD4tdVOmimR9wB","Plays Count Basie","7ETDHJ9yletBCxNx0ipr1x",2,"Oscar Peterson",61,158483,"adult standards;bebop;big band;contemporary post-bop;cool jazz;jazz;jazz piano;stride;swing;vocal jazz"
"78","Two Sleepy People","75A0vJQiBzAxkC7pMjoSeX",49,"Marcus Gilmore","Marcus Gilmore feat. Danny Grissett feat. Vicente Archer","1caVPl46Ta6C8DYns5AAuo","Stride","0o05AbCCpC7ae3h0NGJBKg",2,"Marcus Gilmore",40,1743,"jazz drums"
"79","Smoke Gets In Your Eyes","6zitgdF37hJd6bktKElSlm",24,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","Cocktail Party Piano: Elegant Solo Piano Music For Cocktail Parties","1MfMLICPGQRaev3gAZ3AMg",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"80","Who Can I Turn To (When Nobody Needs Me)","69F5TAp1BkufRLQCzAs0xv",25,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","Save The Last Dance For Me","33JuuI08OPCy8shZyt8h72",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"81","Old Cape Cod","6Xh1eQycHilkgUqtamuiBi",25,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","Moments To Remember","6wNxtVJ72HGPl4ruDBo5H0",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"82","Snowflakes","6z0LUhrijRaBT0ozwzcYVL",24,"Atlantic Five Jazz Band","Atlantic Five Jazz Band","2utgbFODWxZ6ZPLVhRaToA","Bar Jazz Christmas","75IgWi4vDFPVBBs59whj57",2,"Atlantic Five Jazz Band",51,6623,"dinner jazz"
"83","Don't Worry 'Bout Me","0ETbpMUWqzefOxadv9Dx2c",26,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","Swingin' With Sinatra","63Tz06ROnIQffPr3DGVH6l",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"84","Laura","0Oa91nWWwjBScnrjywUJtH",0,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","Days Of Wine And Roses: Songs Of Johnny Mercer","3YxwH88Y9ESiSi4eN1n02W",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"85","Because Of You","3QjaDwmj3szEHB5qENPwon",35,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","The Ultimate Romance Playlist","4TCh8ccf6YgMK7jdOFcE2d",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"86","All The Things You Are","6vaWmruQZDLwPRfcfhsMV8",24,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","The Ultimate Romance Playlist","4TCh8ccf6YgMK7jdOFcE2d",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"87","Here There And Everywhere","6gOw5hcYahSuenFfbyinAh",25,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","The Ultimate Romance Playlist","4TCh8ccf6YgMK7jdOFcE2d",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"88","Bewitched","4KAhjpYXzkOG9XV3T9NFij",25,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","The Ultimate Romance Playlist","4TCh8ccf6YgMK7jdOFcE2d",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"89","Outrun This!","02fSxVKwfRglhkXt03wVJg",52,"Arcade High","Arcade High","7fVPo8qWQK1quywHw9kMdI","Pixel Passion","3uDYSThuKWpeqb61ozIU3G",3,"Arcade High",44,23477,"synthwave"
"90","runaway","2sUxDG4ZG6yynea6gRrVbx",39,"potsu","potsu","5XE0fiZWGbq9TcSuWwJ1fA","runaway","4AqB553ZrJhcXdFrtgdCns",3,"potsu",70,214971,"japanese chillhop;lo-fi beats"
